time	V(vd)	V(vgs)	Id(M1)
3.463109875699068e-007	2.312603e+000	4.034952e+000	1.946258e-003
3.913823036592031e-007	1.886337e+000	4.038414e+000	2.508472e-003
4.551771946195406e-007	1.292173e+000	4.044224e+000	3.473504e-003
5.374974025013665e-007	5.341944e-001	4.052940e+000	4.925853e-003
5.720419938779732e-007	2.215485e-001	4.059037e+000	5.594261e-003
5.902385436598766e-007	7.033946e-002	4.072101e+000	5.812533e-003
5.962834745389260e-007	3.644282e-002	4.089050e+000	5.777611e-003
6.000908855854620e-007	2.695078e-002	4.108736e+000	5.786135e-003
6.020438326069466e-007	2.435236e-002	4.120369e+000	5.820565e-003
6.045555573740765e-007	2.170807e-002	4.135504e+000	5.862850e-003
6.094303577244840e-007	1.781997e-002	4.165076e+000	5.955996e-003
6.138498845211588e-007	1.523098e-002	4.191668e+000	6.046061e-003
6.205148710037101e-007	1.248869e-002	4.230936e+000	6.187778e-003
6.271408228048787e-007	1.056399e-002	4.268627e+000	6.332105e-003
6.358376795944052e-007	8.827417e-003	4.315784e+000	6.524644e-003
6.448232451183479e-007	7.584285e-003	4.361628e+000	6.725401e-003
6.563064791251146e-007	6.501180e-003	4.415982e+000	6.983505e-003
6.689605886158019e-007	5.685828e-003	4.470717e+000	7.268870e-003
6.846320324741434e-007	5.011718e-003	4.531455e+000	7.623049e-003
7.031548412430493e-007	4.488190e-003	4.594437e+000	8.042147e-003
7.252468045339391e-007	4.097322e-003	4.658379e+000	8.542360e-003
7.536394689621448e-007	3.804774e-003	4.726112e+000	9.185431e-003
7.858386709980220e-007	3.643662e-003	4.786338e+000	9.914797e-003
8.325937534311460e-007	3.590683e-003	4.850258e+000	1.097376e-002
8.934791584741402e-007	3.692447e-003	4.904635e+000	1.235234e-002
9.965983790581626e-007	4.073093e-003	4.954891e+000	1.468576e-002
1.139938078003391e-006	4.784767e-003	4.984402e+000	1.792556e-002
1.402924197275393e-006	6.268780e-003	4.999029e+000	2.385859e-002
1.713508901098454e-006	8.089379e-003	5.001831e+000	3.084134e-002
2.312607769977941e-006	1.161463e-002	5.001775e+000	4.421974e-002
3.312607769977941e-006	1.745129e-002	5.001773e+000	6.631115e-002
4.312607769977941e-006	2.321543e-002	5.001766e+000	8.805390e-002
5.312607769977941e-006	2.888095e-002	5.001757e+000	1.093444e-001
6.312607769977940e-006	3.442751e-002	5.001747e+000	1.301104e-001
7.312607769977940e-006	3.983571e-002	5.001735e+000	1.502843e-001
8.312607769977940e-006	4.508713e-002	5.001722e+000	1.698031e-001
9.312607769977940e-006	5.016439e-002	5.001707e+000	1.886085e-001
1.031260776997794e-005	5.507198e-002	5.001691e+000	2.067291e-001
1.091700000000000e-005	5.796010e-002	5.001680e+000	2.173685e-001
1.091800000000000e-005	5.796475e-002	5.001680e+000	2.173860e-001
1.092000000000000e-005	5.797400e-002	5.001680e+000	2.174206e-001
1.092400000000000e-005	5.799267e-002	5.001680e+000	2.174890e-001
1.093200000000001e-005	5.802995e-002	5.001680e+000	2.176262e-001
1.094800000000002e-005	5.810448e-002	5.001680e+000	2.179002e-001
1.098000000000003e-005	5.825332e-002	5.001679e+000	2.184475e-001
1.104400000000006e-005	5.855017e-002	5.001678e+000	2.195387e-001
1.117200000000013e-005	5.914053e-002	5.001676e+000	2.217080e-001
1.142800000000026e-005	6.031494e-002	5.001671e+000	2.260223e-001
1.142900000000026e-005	6.031951e-002	5.001671e+000	2.260389e-001
1.143100000000026e-005	6.032862e-002	5.001671e+000	2.260720e-001
1.143500000000026e-005	6.034683e-002	5.001671e+000	2.261390e-001
1.144300000000026e-005	6.038322e-002	5.001671e+000	2.262725e-001
1.145900000000027e-005	6.045596e-002	5.001671e+000	2.265396e-001
1.149100000000029e-005	6.060122e-002	5.001670e+000	2.270727e-001
1.155500000000032e-005	6.089088e-002	5.001669e+000	2.281358e-001
1.168300000000038e-005	6.146862e-002	5.001667e+000	2.302560e-001
1.168400000000038e-005	6.147312e-002	5.001666e+000	2.302724e-001
1.168600000000038e-005	6.148209e-002	5.001666e+000	2.303050e-001
1.169000000000039e-005	6.150008e-002	5.001666e+000	2.303711e-001
1.169800000000039e-005	6.153601e-002	5.001666e+000	2.305029e-001
1.171400000000040e-005	6.160784e-002	5.001666e+000	2.307664e-001
1.174600000000041e-005	6.175127e-002	5.001665e+000	2.312924e-001
1.181000000000045e-005	6.203772e-002	5.001664e+000	2.323426e-001
1.181100000000045e-005	6.204220e-002	5.001664e+000	2.323592e-001
1.181300000000045e-005	6.205114e-002	5.001664e+000	2.323922e-001
1.181700000000045e-005	6.206900e-002	5.001664e+000	2.324576e-001
1.182500000000045e-005	6.210471e-002	5.001664e+000	2.325886e-001
1.184100000000046e-005	6.217607e-002	5.001664e+000	2.328502e-001
1.187300000000048e-005	6.231868e-002	5.001663e+000	2.333728e-001
1.187400000000048e-005	6.232315e-002	5.001663e+000	2.333893e-001
1.187600000000048e-005	6.233206e-002	5.001663e+000	2.334222e-001
1.188000000000048e-005	6.234986e-002	5.001663e+000	2.334874e-001
1.188800000000049e-005	6.238546e-002	5.001662e+000	2.336179e-001
1.190099999999999e-005	6.244330e-002	5.001662e+000	2.338302e-001
1.190199999999999e-005	6.244774e-002	5.001662e+000	2.338464e-001
1.190400000000000e-005	6.245662e-002	5.001662e+000	2.338787e-001
1.190800000000000e-005	6.247439e-002	5.001662e+000	2.339437e-001
1.191100000000000e-005	6.248774e-002	5.001662e+000	2.339929e-001
1.191300000000000e-005	6.249663e-002	5.001662e+000	2.340256e-001
1.191400000000000e-005	6.250107e-002	5.001662e+000	2.340417e-001
1.191500000000000e-005	6.250551e-002	5.001662e+000	2.340580e-001
1.191600000000000e-005	6.250995e-002	5.001662e+000	2.340743e-001
1.191700000000000e-005	6.251560e-002	5.001661e+000	2.341317e-001
1.191710000000000e-005	6.251410e-002	5.001619e+000	2.341069e-001
1.191730000000000e-005	6.251100e-002	5.001517e+000	2.340966e-001
1.191760000000000e-005	6.250486e-002	5.001330e+000	2.341019e-001
1.191800000000000e-005	6.249504e-002	5.001048e+000	2.341074e-001
1.191804000000000e-005	6.249426e-002	5.001028e+000	2.341086e-001
1.191812000000000e-005	6.249306e-002	5.000996e+000	2.341099e-001
1.191828000000000e-005	6.249208e-002	5.000945e+000	2.341120e-001
1.191860000000000e-005	6.249264e-002	5.000853e+000	2.341167e-001
1.191920042876277e-005	6.249442e-002	5.000625e+000	2.341265e-001
1.192016183686774e-005	6.248795e-002	4.999903e+000	2.341429e-001
1.192153968150036e-005	6.245163e-002	4.997885e+000	2.341674e-001
1.192235001383340e-005	6.240670e-002	4.995805e+000	2.341826e-001
1.192280170911997e-005	6.236356e-002	4.993952e+000	2.341925e-001
1.192311807195877e-005	6.231370e-002	4.991969e+000	2.342018e-001
1.192341059368009e-005	6.224914e-002	4.989607e+000	2.342091e-001
1.192374139826153e-005	6.217735e-002	4.986965e+000	2.342107e-001
1.192400881967586e-005	6.214292e-002	4.985201e+000	2.342092e-001
1.192430604023333e-005	6.213612e-002	4.983633e+000	2.342082e-001
1.192455879140012e-005	6.215043e-002	4.982530e+000	2.342089e-001
1.192482974300722e-005	6.218082e-002	4.981516e+000	2.342109e-001
1.192512650431717e-005	6.222422e-002	4.980523e+000	2.342142e-001
1.192543184943024e-005	6.227566e-002	4.979585e+000	2.342183e-001
1.192604253965638e-005	6.238606e-002	4.977819e+000	2.342277e-001
1.192673951289411e-005	6.251398e-002	4.975883e+000	2.342390e-001
1.192813345936959e-005	6.276371e-002	4.972114e+000	2.342620e-001
1.193047236106886e-005	6.314865e-002	4.965377e+000	2.343014e-001
1.193282994396065e-005	6.341017e-002	4.955021e+000	2.343464e-001
1.193446524399437e-005	6.341644e-002	4.940811e+000	2.343784e-001
1.193623577254633e-005	6.337836e-002	4.916843e+000	2.344028e-001
1.193797188686202e-005	6.359991e-002	4.888238e+000	2.344189e-001
1.193976872130241e-005	6.432603e-002	4.854725e+000	2.344353e-001
1.194336239018318e-005	6.717110e-002	4.780575e+000	2.344680e-001
1.194850640715229e-005	7.416572e-002	4.666457e+000	2.345089e-001
1.195418822410295e-005	8.731907e-002	4.535818e+000	2.345318e-001
1.196021505768387e-005	1.126626e-001	4.400968e+000	2.344875e-001
1.196672576968878e-005	1.639660e-001	4.272559e+000	2.342492e-001
1.197160601470958e-005	2.409231e-001	4.207485e+000	2.337860e-001
1.197700782812957e-005	3.795379e-001	4.178919e+000	2.332955e-001
1.198212702449810e-005	5.392635e-001	4.174450e+000	2.332208e-001
1.198693283656014e-005	6.946273e-001	4.174088e+000	2.332613e-001
1.199206285157695e-005	8.610852e-001	4.173625e+000	2.332732e-001
1.200232288161055e-005	1.195841e+000	4.173172e+000	2.333248e-001
1.201198515706003e-005	1.512479e+000	4.172782e+000	2.333396e-001
1.203130970795899e-005	2.149943e+000	4.172157e+000	2.333054e-001
1.204881359884688e-005	2.740285e+000	4.171402e+000	2.331251e-001
1.207506007659785e-005	3.671284e+000	4.169436e+000	2.323378e-001
1.208704040081005e-005	4.148731e+000	4.167623e+000	2.314145e-001
1.209632165335291e-005	4.584362e+000	4.165158e+000	2.299521e-001
1.210319425898243e-005	4.959049e+000	4.162494e+000	2.281055e-001
1.210725727564665e-005	5.206424e+000	4.159716e+000	2.252367e-001
1.210943182747820e-005	5.343585e+000	4.154635e+000	2.175300e-001
1.211067739787235e-005	5.416034e+000	4.145510e+000	2.037847e-001
1.211168718875847e-005	5.464589e+000	4.130412e+000	1.834615e-001
1.211282185140933e-005	5.507228e+000	4.104839e+000	1.539588e-001
1.211416723610379e-005	5.544558e+000	4.064982e+000	1.181739e-001
1.211640602513642e-005	5.587857e+000	3.985035e+000	6.992351e-002
1.211880254121011e-005	5.619215e+000	3.888771e+000	3.887489e-002
1.212123335937758e-005	5.639993e+000	3.783966e+000	2.602612e-002
1.212422242183443e-005	5.656947e+000	3.651240e+000	2.148327e-002
1.212836955585703e-005	5.672603e+000	3.467990e+000	1.936662e-002
1.213546345676568e-005	5.690382e+000	3.165625e+000	1.701711e-002
1.214306752460676e-005	5.703250e+000	2.863016e+000	1.487346e-002
1.215148984960482e-005	5.712802e+000	2.561899e+000	1.282820e-002
1.216301444542297e-005	5.721695e+000	2.206034e+000	1.047551e-002
1.217714529266178e-005	5.729160e+000	1.842961e+000	8.113484e-003
1.219082706039848e-005	5.734086e+000	1.561668e+000	6.294141e-003
1.220540409657581e-005	5.737679e+000	1.329273e+000	4.785742e-003
1.222110979975923e-005	5.740372e+000	1.139091e+000	3.539183e-003
1.223767336467127e-005	5.742321e+000	9.923123e-001	2.563392e-003
1.225780697332830e-005	5.743876e+000	8.692337e-001	1.740266e-003
1.228488098443632e-005	5.745156e+000	7.625159e-001	1.042293e-003
1.231611067167599e-005	5.745979e+000	6.877596e-001	5.848398e-004
1.234744141337686e-005	5.746375e+000	6.444756e-001	3.486710e-004
1.238881169617828e-005	5.746567e+000	6.118267e-001	1.983819e-004
1.243757579313318e-005	5.746593e+000	5.894484e-001	1.154833e-004
1.250600279078625e-005	5.746487e+000	5.713263e-001	6.628974e-005
1.259396957590906e-005	5.746282e+000	5.573798e-001	4.011047e-005
1.272586359375662e-005	5.745940e+000	5.444727e-001	2.464488e-005
1.290359084102350e-005	5.745462e+000	5.333100e-001	1.592574e-005
1.321174628860879e-005	5.744606e+000	5.207840e-001	9.749000e-006
1.365550533436837e-005	5.743318e+000	5.089270e-001	5.885353e-006
1.437391140275455e-005	5.741097e+000	4.962906e-001	3.287357e-006
1.537391140275455e-005	5.737813e+000	4.835562e-001	1.509809e-006
1.566700000000000e-005	5.736793e+000	4.805972e-001	1.179490e-006
1.608082280550911e-005	5.735292e+000	4.769667e-001	9.177958e-006
1.608182280550910e-005	5.735289e+000	4.769583e-001	5.018165e-006
1.608382280550910e-005	5.735281e+000	4.769416e-001	-1.282062e-006
1.608782280550910e-005	5.735266e+000	4.769086e-001	1.472842e-006
1.609365495357164e-005	5.735245e+000	4.768608e-001	1.551331e-007
1.610531924969671e-005	5.735201e+000	4.767653e-001	1.157421e-006
1.612864784194686e-005	5.735114e+000	4.765752e-001	6.411137e-007
1.617530502644716e-005	5.734939e+000	4.761984e-001	8.585703e-007
1.626861939544775e-005	5.734586e+000	4.754574e-001	6.737246e-007
1.645524813344894e-005	5.733874e+000	4.739984e-001	-6.785931e-006
1.645624813344894e-005	5.733870e+000	4.739906e-001	-3.184677e-006
1.645824813344894e-005	5.733862e+000	4.739751e-001	2.363158e-006
1.646224813344893e-005	5.733847e+000	4.739446e-001	-1.875467e-007
1.646960437197606e-005	5.733818e+000	4.738884e-001	1.045868e-006
1.648431684903032e-005	5.733761e+000	4.737765e-001	3.538444e-007
1.651374180313883e-005	5.733647e+000	4.735535e-001	6.755533e-007
1.657259171135585e-005	5.733418e+000	4.731095e-001	6.785971e-006
1.657359171135585e-005	5.733415e+000	4.731021e-001	3.770593e-006
1.657559171135584e-005	5.733407e+000	4.730873e-001	-9.891543e-007
1.657959171135584e-005	5.733391e+000	4.730572e-001	1.111174e-006
1.658624363480447e-005	5.733365e+000	4.730075e-001	8.744004e-008
1.659954748170174e-005	5.733313e+000	4.729082e-001	7.275182e-007
1.662615517549628e-005	5.733209e+000	4.727099e-001	5.748715e-006
1.662715517549627e-005	5.733205e+000	4.727026e-001	3.276681e-006
1.662915517549627e-005	5.733198e+000	4.726878e-001	-8.031226e-007
1.663315517549627e-005	5.733182e+000	4.726581e-001	9.436622e-007
1.663936275654944e-005	5.733157e+000	4.726121e-001	9.265932e-008
1.665177791865577e-005	5.733109e+000	4.725204e-001	-3.822299e-006
1.665277791865577e-005	5.733105e+000	4.725129e-001	-1.903177e-006
1.665477791865577e-005	5.733097e+000	4.724980e-001	1.597396e-006
1.665877791865576e-005	5.733081e+000	4.724684e-001	1.229275e-006
1.666109501600674e-005	5.733072e+000	4.724514e-001	-9.123104e-007
1.666236580529805e-005	5.733067e+000	4.724420e-001	-7.913213e-007
1.666445842141738e-005	5.733059e+000	4.724266e-001	-1.370033e-006
1.666545842141738e-005	5.733055e+000	4.724191e-001	3.082691e-006
1.666600000000000e-005	5.733053e+000	4.724151e-001	3.330131e-006
1.666700000000000e-005	5.733046e+000	4.724041e-001	7.323058e-005
1.666700220103658e-005	5.733046e+000	4.724052e-001	6.594686e-005
1.666700660310975e-005	5.733047e+000	4.724073e-001	5.338731e-005
1.666701540725608e-005	5.733047e+000	4.724120e-001	3.541122e-005
1.666703301554874e-005	5.733048e+000	4.724256e-001	1.341941e-005
1.666704919029145e-005	5.733048e+000	4.724450e-001	2.185899e-006
1.666708153977688e-005	5.733049e+000	4.725087e-001	-1.265456e-005
1.666714623874773e-005	5.733050e+000	4.727242e-001	-5.100861e-005
1.666725904641218e-005	5.733054e+000	4.733514e-001	-1.594528e-004
1.666740683919444e-005	5.733062e+000	4.746825e-001	-3.857621e-004
1.666760235360739e-005	5.733079e+000	4.772877e-001	-8.165501e-004
1.666776276533909e-005	5.733098e+000	4.802911e-001	-1.292539e-003
1.666800000000000e-005	5.733131e+000	4.857632e-001	-2.133595e-003
1.666802372346609e-005	5.733135e+000	4.864065e-001	-2.228485e-003
1.666807117039828e-005	5.733143e+000	4.876741e-001	-2.411252e-003
1.666816606426264e-005	5.733156e+000	4.901031e-001	-2.738965e-003
1.666835585199138e-005	5.733179e+000	4.945433e-001	-3.252218e-003
1.666873542744884e-005	5.733212e+000	5.023422e-001	-3.930597e-003
1.666913548759669e-005	5.733235e+000	5.094343e-001	-4.304018e-003
1.666962383950040e-005	5.733253e+000	5.170729e-001	-4.468595e-003
1.667007190886440e-005	5.733264e+000	5.236034e-001	-4.496926e-003
1.667068372459048e-005	5.733277e+000	5.322593e-001	-4.480428e-003
1.667186261556884e-005	5.733310e+000	5.501268e-001	-4.641750e-003
1.667272569775947e-005	5.733365e+000	5.684652e-001	-5.488073e-003
1.667372098639834e-005	5.733484e+000	6.004426e-001	-7.737623e-003
