time	V(vds)	V(vgs)	Id(M1)
3.950265471723081e-007	1.852417e+000	4.038714e+000	2.557732e-003
4.595396076450356e-007	1.252083e+000	4.044652e+000	3.545184e-003
5.432965984531379e-007	4.816237e-001	4.053644e+000	5.041970e-003
5.796071292205134e-007	1.616384e-001	4.066479e+000	5.691231e-003
5.952713088158447e-007	4.849263e-002	4.090520e+000	5.814921e-003
6.005723016029636e-007	2.786725e-002	4.111871e+000	5.820247e-003
6.061372954755734e-007	2.038101e-002	4.144495e+000	5.891138e-003
6.082279427550114e-007	1.863755e-002	4.157225e+000	5.934188e-003
6.110399707947080e-007	1.670002e-002	4.174213e+000	5.986761e-003
6.143042336817194e-007	1.492514e-002	4.193868e+000	6.053829e-003
6.175912880511531e-007	1.350945e-002	4.213343e+000	6.124617e-003
6.241653967900206e-007	1.135812e-002	4.251334e+000	6.265429e-003
6.309326117534736e-007	9.768017e-003	4.288796e+000	6.414850e-003
6.430443420745064e-007	7.873988e-003	4.351830e+000	6.684150e-003
6.550913877496285e-007	6.658408e-003	4.409183e+000	6.954921e-003
6.748571441233331e-007	5.481620e-003	4.492170e+000	7.400482e-003
6.997192429132544e-007	4.657231e-003	4.579051e+000	7.962974e-003
7.445395280153360e-007	3.978353e-003	4.697604e+000	8.977553e-003
8.100829145936379e-007	3.681944e-003	4.809527e+000	1.046197e-002
9.411696877502417e-007	3.872142e-003	4.927159e+000	1.342929e-002
1.070582666992914e-006	4.412630e-003	4.975738e+000	1.635593e-002
1.273163371863774e-006	5.515573e-003	4.995919e+000	2.092834e-002
1.514312894378313e-006	6.914776e-003	5.001086e+000	2.635670e-002
1.994815905745181e-006	9.744270e-003	5.001769e+000	3.712421e-002
2.763925794574801e-006	1.425022e-002	5.001777e+000	5.420596e-002
3.763925794574802e-006	2.004490e-002	5.001768e+000	7.610461e-002
4.763925794574801e-006	2.577554e-002	5.001759e+000	9.770261e-002
4.834329999999999e-006	2.617496e-002	5.001758e+000	9.920488e-002
4.975138410850395e-006	2.696777e-002	5.001758e+000	1.021826e-001
5.256755232551187e-006	2.854897e-002	5.001756e+000	1.081187e-001
5.271096356598415e-006	2.862924e-002	5.001756e+000	1.084197e-001
5.299778604692873e-006	2.878943e-002	5.001756e+000	1.090204e-001
5.357143100881787e-006	2.910955e-002	5.001755e+000	1.102210e-001
5.471872093259615e-006	2.974843e-002	5.001754e+000	1.126162e-001
5.604872015244342e-006	3.048681e-002	5.001751e+000	1.153785e-001
5.605872015244342e-006	3.049275e-002	5.001752e+000	1.154034e-001
5.607872015244341e-006	3.050447e-002	5.001752e+000	1.154513e-001
5.611872015244340e-006	3.052642e-002	5.001752e+000	1.155313e-001
5.619872015244337e-006	3.057086e-002	5.001752e+000	1.156989e-001
5.635872015244331e-006	3.065948e-002	5.001751e+000	1.160303e-001
5.667872015244320e-006	3.083668e-002	5.001751e+000	1.166944e-001
5.731872015244298e-006	3.119117e-002	5.001751e+000	1.180284e-001
5.732872015244297e-006	3.119651e-002	5.001751e+000	1.180452e-001
5.734872015244297e-006	3.120726e-002	5.001750e+000	1.180806e-001
5.738872015244295e-006	3.122949e-002	5.001750e+000	1.181663e-001
5.746872015244293e-006	3.127363e-002	5.001750e+000	1.183304e-001
5.762872015244287e-006	3.136203e-002	5.001750e+000	1.186620e-001
5.794872015244276e-006	3.153896e-002	5.001750e+000	1.193308e-001
5.795872015244276e-006	3.154435e-002	5.001750e+000	1.193478e-001
5.797872015244275e-006	3.155518e-002	5.001750e+000	1.193834e-001
5.801872015244273e-006	3.157734e-002	5.001750e+000	1.194688e-001
5.809872015244271e-006	3.162144e-002	5.001750e+000	1.196331e-001
5.818330000000005e-006	3.166789e-002	5.001750e+000	1.198011e-001
5.819330000000004e-006	3.167349e-002	5.001750e+000	1.198246e-001
5.821330000000003e-006	3.168469e-002	5.001750e+000	1.198715e-001
5.825330000000002e-006	3.170685e-002	5.001750e+000	1.199577e-001
5.826330000000002e-006	3.171232e-002	5.001750e+000	1.199766e-001
5.828330000000001e-006	3.172323e-002	5.001750e+000	1.200142e-001
5.830330000000000e-006	3.173416e-002	5.001750e+000	1.200519e-001
5.831330000000000e-006	3.173977e-002	5.001750e+000	1.200760e-001
